#{"t_start": 1768770105.9315505, "env_id": "None"}
r,l,t
-404.985,310,1.8025
-488.13428,393,1.95269
-648.1261,495,2.133915
-1151.9196,639,2.402778
-739.2467,512,2.789842
-881.10474,650,3.441099
-52.390785,142,3.720861
-1335.2505,879,4.166063
-2133.3413,1358,4.722884
-2399.6545,1949,5.194888
-36.431763,125,14.738869
-3475.4805,2240,15.082039
-5657.612,2640,15.92965
-606.6056,522,16.191085
-1881.7295,1667,16.577356
-1614.5522,1217,16.603891
49.721306,1,16.605903
-483.48447,296,16.782485
-3316.8823,1567,16.837096
-489.4598,565,17.67287
-1275.2363,764,18.287693
-484.15677,350,18.322852
-57.30548,131,18.525739
-1635.2228,981,18.633669
-313.35876,202,18.690865
-5477.9824,3500,27.451446
-1787.0085,1756,27.589616
