#{"t_start": 1768770620.6752982, "env_id": "None"}
r,l,t
-5.001187,50,1.307856
-41.270348,84,1.37069
-174.78467,272,1.711952
-203.25354,246,1.754007
-369.56985,304,1.769545
-304.6454,326,1.811413
-104.28798,120,1.932012
-186.23526,124,2.005431
-126.29422,153,2.04724
-685.31165,503,2.155704
-932.3001,624,2.43012
-452.8422,315,2.474206
-239.16177,215,2.47822
-1695.8049,1091,3.672612
-1540.6396,823,3.868321
-61.01298,160,4.192821
-2253.9248,1608,4.544034
-856.2041,576,4.831532
